Mês,Evento,Categoria
Abril,"26 de abril — São criadas a CPMI do Golpe no Congresso Nacional, as CPIs da Manipulação do Futebol, MST e a CPI da Americanas na Câmara dos Deputados, que investigarão os ataques e financiamentos de vandalismo dos Três Poderes no Brasil em 8 de janeiro, as denúncias do MP-GO sobre o recebimento de dinheiro de apostadores para alterar resultados de jogos de futebol, o rombo contábil das Lojas Americanas e as invasões de áreas rurais feitas pelo Movimento dos Sem Terra.",Política
Abril,"11 de abril — Guerra civil de Mianmar: Na aldeia de Pazigyi, pelo menos 165 pessoas são mortas pela Força Aérea de Mianmar durante as celebrações de abertura de um gabinete administrativo da Força de Defesa Popular.",Desastres
Abril,"14 de abril — O Jupiter Icy Moons Explorer (JUICE) é lançado pela Agência Espacial Europeia (ESA) para procurar vida no sistema joviano, com Mês de chegada prevista para 2031.",Ciência e Tecnologia
Abril,"15 de abril — A energia nuclear na Alemanha é abolida depois de 60 anos, com o fechamento das últimas centrais nucleares.",Ciência e Tecnologia
Abril,"20 de abril — SpaceX realiza o primeiro voo do Starship, que resulta na destruição do foguete minutos após o lançamento.",Ciência e Tecnologia
Abril,"29 de abril — Pela primeira vez na história, a Índia ultrapassou a China em termos de população.",Ciência e Tecnologia
Abril,"A coroação de Carlos III do Reino Unido, na Abadia de Westminster, em Londres.",Política
Abril,A Síria é readmitida na Liga Árabe após ter sido suspensa desde 2011.,Política
Abril,"No segundo turno das eleições presidenciais da Turquia, o atual presidente Recep Tayyip Erdoğan vence o líder da oposição Kemal Kılıçdaroğlu e é reeleito presidente do país.",Política
Abril,"Realizam-se as eleições presidenciais letãs de 2023; Edgars Rinkēvičs é eleito Presidente da Letônia, sendo o primeiro presidente assumidamente gay de um país da União Europeia.",Política
Abril,O Regime de Daniel Ortega congela contas bancárias da Igreja Católica da Nicarágua.,Economia
Maio,"9 à 13 de maio — Realização do 67.º Festival Eurovisão da Canção em Liverpool, Reino Unido, tendo como o país vencedor a Suécia.",Arte
Maio,"8 de maio — Morre, aos 75 anos, a cantora Rita Lee conhecida como a Rainha do rock brasileiro.",Falecimentos e Nascimentos
Maio,"21 de maio — Morre, aos 58 anos, o ator Ray Stevenson.",Falecimentos e Nascimentos
Maio,"24 de maio — Morre, aos 83 anos, a cantora e dançarina Tina Turner.",Falecimentos e Nascimentos
Maio,"31 de maio — O Sevilla é campeão da Liga Europa da UEFA de 2022–23 após vencer a Roma nas penalidades, se tornando heptacampeão da competição. O jogo foi realizado no Estádio Puskás Aréna, em Budapeste, na Hungria.",Esporte
Maio,"3 de maio — Na Sérvia, nove pessoas foram mortas, oito das quais eram crianças, e sete ficaram feridas em um tiroteio na Escola Primária 'Vladislav Ribnikar' em Belgrado, capital do país balcã.",Desastres
Maio,"20 de maio — Um tumulto entre os torcedores dos times de futebol salvadorenhos Alianza e FAS termina com pelo menos 12 pessoas mortas e dezenas de feridas, no estádio Cuscatlán, em San Salvador, capital de El Salvador.",Desastres
Maio,21 de maio — Vinícius Júnior sofre racismo pela 10ª vez na Espanha.,Desastres
Maio,"4 de maio — Uma série de inundações e deslizamentos de terra atinge aldeias no leste da República Democrática do Congo, deixando mais de 400 mortos.",Ecossistema
Maio,"16 de maio — Fortes chuvas causam inundações na região de Emília-Romanha, Itália, deixando pelo menos 13 pessoas mortas e outras 36.600 desabrigadas. O GP da Emilia-Romanha de Fórmula 1 é cancelado.",Ecossistema
Maio,"21 de maio — O Monte Etna, o vulcão mais ativo da Europa, entra em erupção, despejando cinzas em Catânia, na Sicília, Itália e interrompe voos no aeroporto local.",Ecossistema
Maio,5 de maio — A OMS decreta o fim da emergência global sanitária perante a COVID-19.,Ciência e Tecnologia
